Local_alignment_Tm	Gap_adjusted_end_filling_Tm
63.79	15.29
58.09	13.49
56.57	-9.68
56.25	3.33
56.25	3.33
56.25	3.33
56.25	3.33
56.25	-18.2
56.25	-18.2
54.36	4.22
53.97	23.01
54.38	40.95
54.36	4.34
53.97	23.01
47.12	18.49
52.62	-32.38
56.49	34.53
53.82	-51.11
46.94	-65.06
59.27	-29.5
42.29	11.23
42.6	-75.21
56.49	32.87
52.42	22.72
59.3	35.84
52.62	-48.61
56.49	30.95
53.1	24.21
53.1	24.21
53.1	24.21
55.47	33.17
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.31	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
46.78	-76.23
51.16	-48.22
51.16	-42.97
51.16	-42.97
51.16	-100.23
51.66	-86.31
50.7	14.02
51.16	-48.22
51.16	-48.22
59.63	43.82
59.51	47.66
60.42	38.12
60.42	38.12
60.42	38.12
57.59	-6.15
53.4	27.66
53.84	30.92
54.74	32.25
54.93	-44.37
54.09	-56.66
43.83	-32.37
58.03	-55.21
49.41	-30.38
53.97	11.98
58.03	-70.71
58.03	-55.21
58.03	-70.71
54.61	-21.19
50.73	28.66
50.73	28.66
50.73	28.66
48.29	28.38
49.84	-7.02
49.84	-7.02
49.84	-7.02
49.84	-7.02
50.54	30.81
50.87	-1.06
55.65	0.74
54.61	-21.19
54.37	43.73
50.73	26.86
50.73	26.86
50.73	26.86
58.36	-3.48
49.84	-8.61
49.84	-3.48
49.84	-8.61
49.84	-8.61
58.87	-41.09
53.81	40.7
52.06	36.19
49.69	17.28
55.88	0.45
52.28	14.92
54.1	27.62
55.97	24.52
51.49	-94.76
57.08	-5.58
44.08	-39.7
49.27	24.3
46.78	-63.51
53.76	15.3
54.66	-22.62
46.78	-106.47
52.72	30.39
54.32	39.65
53.09	-62.26
53.44	-31.43
50.91	-33.42
50.99	-12.02
53.1	20.05
53.1	20.05
60.13	-30.82
60.13	-30.82
53.95	-12.73
54.26	25.66
56.13	27.22
54.26	25.56
55.72	-16.17
48.47	17.22
58.84	22.74
61.31	-107.07
61.31	-107.07
56.63	-19.37
57.64	-65.49
62.93	52.95
63.74	37.82
60.8	20.88
63.74	37.82
60.48	14.26
58.03	-47.6
60.23	-111.21
58.03	-47.6
60.23	-111.21
57.52	36.91
56.49	37.55
51.06	-59
57.59	-2.06
53.4	30.9
46.78	-97.81
60.33	25.49
60.33	25.49
58.85	33.69
58.85	28.24
60.33	25.64
60.33	25.49
58.85	28.24
54.85	-46.01
54.85	-54.95
60.33	25.64
56.6	25.51
58.85	28.24
54.85	-54.95
58.85	28.24
55.47	32.29
54.85	-54.95
54.85	-54.95
54.85	-54.95
54.85	-54.95
54.85	-46.01
50.54	29.57
50.87	-5.3
60.79	26.27
59.48	28.08
54.79	32.96
55.65	40.26
55.48	32.73
55.02	-35.1
56.49	26.86
55.02	-35.1
57.03	-12.61
60.6	12.69
58.22	18.88
51.08	23.35
51.85	22.43
56.17	20.05
54.05	-60.58
54.05	-60.58
54.96	-93.77
51.59	25.73
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
56.04	-72.38
51.53	-40.75
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-55.25
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.92	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
54.05	-60.58
53.76	24.47
56.63	-45.26
58.85	30.87
55.47	32.58
52.87	9.93
55.73	14.14
63.52	34.48
55.73	14.14
55.73	14.14
58.91	25.75
55.73	14.14
54.45	39.85
53.09	-55.77
53.44	-26.99
50.91	-26.57
53.84	30.58
54.09	-46.34
51.28	-4.78
53.1	21.71
51.85	15.9
53.1	21.71
53.1	21.71
53.1	21.71
55.41	7.71
58.23	-27.11
